ITEM_ID,CATEGORY_L1,CATEGORY_L2,PRODUCT_DESCRIPTION,PRICE,GENDER
6e6ad102-7510-4a02-b8ce-5a0cd6f431d1,apparel,jacket,This gainsboro jacket for women is perfect for the city,133.99,F
49b89871-5fe7-4898-b99d-953e15fb42b2,electronics,speaker,High definition speakers to fill the house with beautiful music,196.99,ANY
eb8f10ab-1317-4a11-b058-b2098bb64326,housewares,kitchen,Outstanding for every kitchen,55.99,ANY
8a4af646-ffb5-4413-a201-750537e2a318,footwear,formal,Pair of black formal shoes for men,9.99,M
e53a6570-3a3f-4ca8-b6dc-8ff378bca757,books,travel,Plan your next trip with this essential reference book on Sweden,12.99,ANY
27611481-bedc-4ffd-b8e6-4af2a34d5b3e,groceries,dairy,This cheese is fresh from our dairy farms,3.99,ANY
ddb21847-ca9b-45ec-b7fc-4cf3409ffda7,apparel,scarf,Fashionable scarf for women for every occasion,94.99,F
14c5314c-6325-41e9-8e5b-4f72f5b05f27,groceries,fruits,This delicious fruit is everyone's favorite,2.99,ANY
b55e794f-1137-4de2-bcea-806041e080e6,books,travel,Plan your next trip with this essential reference book on China,10.99,ANY
a791d017-1dff-4632-bd32-cf91d966d3c4,homedecor,cushion,This set of cushions is very stylish,43.99,ANY
0f4a0199-9ad9-422a-9bca-868723b659a9,footwear,sneaker,Dashing pair of dark blue shoes for ambling in a new city,107.99,M
547c307d-f756-4e69-af71-897352247169,groceries,vegetables,This flavorful veggie is a must-have in every pantry,7.99,ANY
31eef6b5-781e-4353-a851-d73ff9c22f9a,books,cooking,Learn to cook Chinese cuisine with these easy recipes,52.99,ANY
9f87cbe4-07dc-4540-ad1d-693ea0c27045,accessories,belt,Cool belt for all occasions,93.99,M
0269c908-fd3e-4c51-b9f0-0e0968623eb7,instruments,percussion,This acoustic drum is perfect for amateur and professional musicians,87.99,ANY
fd34b35b-de76-496e-89f1-6ef65969e1a4,books,travel,Plan your next trip with this essential reference book on Mexico,15.99,ANY
4ea4ab51-cec5-4908-a95e-9529244cc050,furniture,tables,Unrivaled tan worktable for your office,129.99,ANY
6d5b3f03-ade6-42f7-969d-acd1f2162332,beauty,grooming,Razor for every bathroom,37.99,M
fe952283-95ea-4d20-9b6e-b0711698b171,furniture,tables,Groovy rosy-brown accent table to enhance your room,272.99,ANY
ba96fabb-220e-40f4-8999-c270f8d06a90,seasonal,christmas,A favorite for the holidays,93.99,ANY
54158f12-a839-466b-afbc-7c8788c9fd85,footwear,sneaker,An all-around intrepid pair of firebrick sneakers,160.99,M
69db7a78-e649-482d-b460-4d4321e7f384,seasonal,easter,A must-have for April,49.99,ANY
04b9b2b6-28c7-4dba-89b4-a2a918d836df,furniture,chairs,Incomparable white and black chair for your office,94.99,ANY
ab22df42-55a5-4180-b46d-5a55d77811e1,instruments,microphone,This high fidelity microphone can be relied upon in every situation,228.99,ANY
3b4ec162-f680-4323-8ddc-95cf37366248,apparel,jacket,Cool winter casual coat for men for the mountains,141.99,M
0ed92852-f5ac-41e1-ad8f-1731b24e37c5,seasonal,christmas,A must-have for the holidays,72.99,ANY
bac8c61d-dd0e-42f1-8c9b-004ae7e64131,groceries,dairy,This cheese is made sustainably by our dairy farmers,5.99,ANY
060ed40f-91cb-4bd5-a0fc-36f7351d2221,groceries,fruits,This delicious fruit is everyone's favorite,3.99,ANY
a11ef46f-dedf-48c8-94b0-3c9572608c5f,apparel,scarf,Hip scarf for women for every occasion,70.99,F
126de4a5-9a55-400e-9af2-325e3ad200c9,seasonal,christmas,A favorite for the holidays,145.99,ANY
baca6570-15ab-43f8-a610-38a6efa502df,footwear,formal,Pair of black formal shoes for women,9.99,F
be0967ed-5970-46b2-8d57-13065f647013,furniture,tables,Definitive black worktable for your office,256.99,ANY
d090af37-2c9d-4779-9baf-2944eb436f14,tools,plier,This plier is a must-have for your toolbox,11.99,ANY
f8834f5f-4017-4da0-98d6-3c8985cbc7f5,furniture,sofas,Outstanding pale gray sofa for any room,887.99,ANY
4f9f0015-6f87-4608-a3ea-e8de2c0881c6,homedecor,lighting,This taper candle is a must-have for the lighting of your home,28.99,ANY
c04c5c8e-d946-402a-a751-a3d33c124ccc,books,cooking,Learn to cook Indonesian cuisine with these easy recipes,38.99,ANY
61f4b407-4f23-4549-b955-5f17e19f7128,seasonal,halloween,A must-have for that fanciful day loved by all,41.99,ANY
0c687920-9e48-4937-87fe-472911249386,outdoors,camping,This camping chair is a must-have for your next trip,45.99,ANY
8ef26e52-1e2a-4fb1-bcaf-3e65ee8c275b,furniture,tables,Increase your productivity with this outstanding wooden worktable,284.99,ANY
ad62d66b-887f-4f87-afbc-26a372e0d9f7,apparel,jacket,Well-insulated rain jacket for women,121.99,F
1a2e30db-2b7a-4489-a865-ba704b42d341,homedecor,decorative,This easter basket will delight everyone,59.99,ANY
d843fe25-e7d1-40fb-84b0-64bdedf9bed6,seasonal,christmas,A must-have for the holidays,80.99,ANY
3f791530-9540-4a36-9838-4fb14fc247ae,jewelry,earrings,Edgy earrings for women,23.99,F
